date,product_category,base_sales,seasonality_factor,economic_indicator,marketing_spend,total_sales
2020-01-01,Health Drinks,1009.7043255889654,200.0,101.76813772583695,3648.9256337919787,1306.3944426431258
2020-01-02,Organic Food,833.8099767177924,202.5157235677482,129.55060162110524,3677.5420432564297,1032.696150236299
2020-01-03,Health Drinks,1054.0913651559677,205.03104907787517,77.1662177173299,5481.866061718491,1443.7398265040654
2020-01-04,Health Drinks,989.9523781101726,207.54557853574343,96.12681081440564,5547.264797377967,1174.9059075799516
2020-01-05,Organic Food,952.2103906267181,210.05891407267325,85.66355358794391,5548.883835317364,1397.5285268131486
2020-01-06,Organic Food,818.4872675916804,212.57065800889637,62.6692676585388,4745.044206446302,910.0116434480674
2020-01-07,Health Drinks,884.6457338863335,215.08041291648033,98.34638628314602,4874.5457399971,1201.7832492867885
2020-01-08,Supplements,1151.0782451651512,217.58778168221224,97.56504983233432,5327.879524159357,1479.2443953248528
2020-01-09,Health Drinks,1100.1834375248761,220.0923675704336,130.26899486484263,5085.8930062933305,1304.605927850639
2020-01-10,Health Drinks,804.4889510402897,222.59377428581456,112.61623369109554,2780.699627252465,1108.5907387538398
2020-01-11,Health Drinks,1019.8664610858452,225.0916060360592,79.51626351341591,4770.200369424806,1428.5635641435101
2020-01-12,Health Drinks,1150.277424674358,227.5854675945307,137.08185132668376,4148.593565739687,1211.3751291235474
2020-01-13,Organic Food,666.1189437757257,230.07496436278734,124.42067391050706,5175.211418908512,1010.6625704677303
2020-01-14,Health Drinks,1108.672038475987,232.55970243301886,111.64195406937232,7985.25900260341,1182.9214443089695
2020-01-15,Supplements,867.4752482108306,235.0392886503738,95.47031802300336,5367.4816654743045,1069.169904965927
2020-01-16,Organic Food,1114.1197337186318,237.51333067516742,80.81121526553041,4686.470313827602,1569.495525548723
2020-01-17,Supplements,847.3481686914967,239.9814370449609,92.55586447857894,5921.801501977252,1097.6250038648827
2020-01-18,Supplements,639.0235798670963,242.44321723650157,121.77497239408372,5482.687887209213,831.0831767742011
2020-01-19,Supplements,674.4915124233675,244.89828172751453,137.69172611869217,5420.094490451841,967.5661387688014
2020-01-20,Supplements,1009.6169893322764,247.34624205833595,130.86487056544377,5606.850593215671,1532.9088581956687
2020-01-21,Organic Food,1051.9445003442963,249.7867108933783,90.22301156427451,7056.5435648295415,1198.1507233217949
2020-01-22,Organic Food,819.1366749791183,252.21930208241764,77.60765133421978,3869.1115646740845,1012.6768666777642
2020-01-23,Supplements,1127.7184917554748,254.64363072169317,102.81772493822407,5473.632076811455,1597.1233840570678
2020-01-24,Supplements,667.695987546208,257.05931321480995,64.63121268874298,4073.6188700184616,1157.72484508385
2020-01-25,Organic Food,986.7840402705367,259.46596733343443,106.46335428369562,5555.512646342248,1302.108347066735
2020-01-26,Organic Food,757.7967600475087,261.86321227777375,97.04794827402662,4081.3134885139057,946.27263178516
2020-01-27,Organic Food,869.6327784395681,264.25066873682874,90.67926996263516,4582.633186394915,1398.3620562175256
2020-01-28,Health Drinks,1009.4797342632828,266.6279589484115,68.10593865466409,4704.910085762093,1489.4116271097014
2020-01-29,Health Drinks,827.9173269432096,268.9947067589181,110.27200213139433,5975.816719344709,1235.5920998849374
2020-01-30,Health Drinks,923.088891154035,271.3505376828463,89.34598320676177,5918.4544439424135,1181.3183367032398
2020-01-31,Supplements,1201.2585618428882,273.69507896205,76.60166328579425,3754.282623553616,1515.2536992852501
2020-02-01,Health Drinks,884.6216260953703,276.0279596247193,42.55475573436701,5054.934110999849,1199.418394299042
2020-02-02,Supplements,1167.1384224130284,278.34881054407947,99.44970189898727,4290.420145250828,1531.4215350610725
2020-02-03,Supplements,774.0586290684764,280.65726449679624,135.4450319333949,3741.4950893246655,1250.7754914649925
